row_id,name,address,telephone,aggregaterating,email,geo,url,image,openinghoursspecification,faxnumber,review,logo,datemodified,page_url
10,Kunze Heizung Sanitär GbR,"{'addresscountry': 'DE', 'postalcode': '45665', 'streetaddress': 'Hillen 22', 'addressregion': 'Nordrhein-Westfalen', 'addresslocality': 'Recklinghausen'}",(02361)&nbsp;42107,"{'ratingvalue': '4.00', 'bestrating': '5', 'reviewcount': '4', 'worstrating': '1'}",info@volker-kunze.de,"{'longitude': '7,211718', 'latitude': '51,609215'}",http://www.volker-kunze.de,"['https://cdn.11880.com/kunze-heizung-sanitaer-gbr_192900_mw640h480_recklinghausen-westfalen.jpg', 'https://cdn.11880.com/kunze-heizung-sanitaer-gbr_192900_mw240h70_recklinghausen-westfalen.jpg']","[{'dayofweek': 'Mittwoch', 'opens': '07:30', 'closes': '16:15'}, {'opens': '07:30', 'closes': '16:15', 'dayofweek': 'Dienstag'}, {'opens': '07:30', 'dayofweek': 'Montag', 'closes': '16:15'}, {'closes': '12:45', 'dayofweek': 'Freitag', 'opens': '07:30'}, {'opens': '07:30', 'closes': '16:15', 'dayofweek': 'Donnerstag'}]",(02361) 43283,"[{'datemodified': '2019-07-24', 'description': 'Wir wollten unser Bad sanieren und fragten u. a. auch bei der Fa. Kunze an. Der Besichtigungstermin Mitte Februar klappte problemlos und stimmte uns sehr positiv. Der Mitarbeiter (der Chef?) entwickelte in unserem Badezimmer mit uns zusammen ein gutes Konzept, er erschien sehr kompetent. Er sagte zu, uns ein Angebot zukommen zu lassen. Das geschah aber nicht - von dieser Firma kam absolut gar nichts mehr! Wir fragten insgesamt 4 mal telefonisch nach und schickten eine E-Mail - jedes mal erhielten wir von der Sekretärin die Zusage, in Kürze würde ein Angebot zugesandt. Nichts kam! Es wäre für uns überhaupt kein Problem gewesen, wenn eine wie auch immer begründete Absage des Auftrages erfolgt wäre. Aber so? Gruselig!', 'datepublished': '2019-07-24'}, {'datepublished': '2016-10-30', 'datemodified': '2016-10-30', 'description': 'Heizungs-Wartung und Bad-Einbau, Überprüfen und Einstellen des kpl. Heizungssystems während der Renovierung ---> sehr'}, {'datepublished': '2017-04-10', 'description': 'Die alte Anlage sollte nicht ersetzt werden, aber ließ sich nicht vermeiden. Ab diesem Zeitpunkt der Entscheidung lief alles wie am', 'datemodified': '2017-04-10'}, {'datepublished': '2016-10-30', 'datemodified': '2016-10-30', 'description': 'Die Firma Kunze war zum 1. Mal in meinem Haus; sie hat mich nicht enttäuscht! Wenn sich mir die Gelegenheit bietet, werde ich sie jederzeit'}]",https://cdn.11880.com/kunze-heizung-sanitaer-gbr_192900_mw240h70_recklinghausen-westfalen.jpg,2020-09-24,https://www.11880.com/branchenbuch/recklinghausen-westfalen/060692320Z3832922/kunze-heizung-sanitaer-gbr.html
11,Facts 4 Emotion FACTS 4 EMOTION GmbH & Co. KG,"{'postalcode': '53129', 'addresslocality': 'Bonn'}",(0228) 28634374,,,,,,,,,,,https://www.11880.com/suche/catering/bonn
12,Dr. Klaus Dr. Hille Zirch & Partner Wirtschaftsprüfer und Steuerberater,"{'addresslocality': 'Augsburg', 'postalcode': '86153'}",(0821) 25796-0,,,,,,,,,,,https://www.11880.com/suche/steuerberater/augsburg
13,Dr. Hille Zirch & Partner - Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft,"{'addresslocality': 'Augsburg', 'postalcode': '86153'}",(0821) 25796-0,,,,,,,,,,,https://www.11880.com/suche/steuerberater/augsburg
14,Manfred Hegemann Bauunternehmung GmbH,"{'addresslocality': 'Bergisch Gladbach', 'streetaddress': 'Dietrich-von-Dorendorp-Str. 33', 'addresscountry': 'DE', 'postalcode': '51429', 'addressregion': 'Nordrhein-Westfalen'}",(02204)&nbsp;81118,"{'ratingvalue': '5.00', 'bestrating': '5', 'worstrating': '1', 'reviewcount': '1'}",stephan.hegemann@gmx.net,"{'longitude': '7,186237', 'latitude': '50,989449'}",http://www.bauunternehmen-bergischgladbach.de,"['https://cdn.11880.com/manfred-hegemann-bauunternehmung-gmbh_120551_mw640h480_bergisch-gladbach.jpg', 'https://cdn.11880.com/manfred-hegemann-bauunternehmung-gmbh_22971672_mw640h480_bergisch-gladbach.jpg', 'https://cdn.11880.com/manfred-hegemann-bauunternehmung-gmbh_22971672_mw240h70_bergisch-gladbach.png']","[{'dayofweek': 'Montag', 'opens': '08:00', 'closes': '19:00'}, {'opens': '08:00', 'closes': '19:00', 'dayofweek': 'Dienstag'}, {'dayofweek': 'Freitag', 'opens': '08:00', 'closes': '19:00'}, {'opens': '08:00', 'closes': '19:00', 'dayofweek': 'Donnerstag'}, {'opens': '08:00', 'dayofweek': 'Mittwoch', 'closes': '19:00'}]",(02204) 83754,"{'datepublished': '2020-01-09', 'description': 'Alles zu unserer vollsten Zufriedenheit! bewertet von Angelika', 'datemodified': '2020-01-09'}",https://cdn.11880.com/manfred-hegemann-bauunternehmung-gmbh_22971672_mw240h70_bergisch-gladbach.png,2020-09-21,https://www.11880.com/branchenbuch/bergisch-gladbach/290110615Z3716262/manfred-hegemann-bauunternehmung-gmbh.html
15,Studierendenwerk Thüringen und Abt. Mensen u. Cafeterien,"{'postalcode': '07743', 'addresslocality': 'Jena'}",(03641) 930600,,,,,,,,,,,https://www.11880.com/suche/cafe/jena
16,Cafe- Bar Rossini Zweigniederlassung der Cafe-Bar Rossini Limited,"{'postalcode': '07743', 'addresslocality': 'Jena'}",(03641) 413235,,,,,,,,,,,https://www.11880.com/suche/cafe/jena
17,Gesellschaftsverein Höxter von 1808,"{'streetaddress': 'Corbiestr. 23', 'addresscountry': 'DE', 'postalcode': '37671', 'addresslocality': 'Höxter', 'addressregion': 'Nordrhein-Westfalen'}",(05271)&nbsp;7781,,nfo@gesellschaftsverein-hoexter.de,"{'latitude': '51,776534', 'longitude': '9,383863'}",https://www.gesellschaftsverein-hoexter.de,//static.11880.com/Portal/images/11880/photo-upload.png,,,,,2020-09-22,https://www.11880.com/branchenbuch/hoexter/431775524B102568084/gesellschaftsverein-hoexter-von-1808.html
18,Ristorante-Pizzeria-Rimini Gaststätten Restaurants,"{'addresscountry': 'DE', 'addresslocality': 'Bochum', 'addressregion': 'Nordrhein-Westfalen', 'postalcode': '44789', 'streetaddress': 'Hattinger Str. 10'}",(0234)&nbsp;311659,"{'reviewcount': '9', 'bestrating': '5', 'ratingvalue': '3.00', 'worstrating': '1'}",mario.tribuzio@rimini-bo.de,"{'latitude': '51,472631', 'longitude': '7,21507'}",http://rimini-bo.de,https://cdn.11880.com/ristorante-pizzeria-rimini-gaststaetten-restaurants_24023862_mw240h70_bochum.jpg,"[{'opens': ['12:00', '17:30'], 'closes': ['23:00', '14:30'], 'dayofweek': 'Montag'}, {'opens': ['12:00', '17:30'], 'closes': ['23:00', '14:30'], 'dayofweek': 'Sonntag'}, {'opens': ['12:00', '17:30'], 'dayofweek': 'Freitag', 'closes': ['23:00', '14:30']}, {'opens': ['12:00', '17:30'], 'closes': ['23:00', '14:30'], 'dayofweek': 'Donnerstag'}, {'opens': ['12:00', '17:30'], 'dayofweek': 'Samstag', 'closes': ['23:00', '14:30']}, {'opens': ['12:00', '17:30'], 'dayofweek': 'Mittwoch', 'closes': ['23:00', '14:30']}]",,"[{'description': 'Allgemein Eigentlich von innen ganz schön eingerichtetes Restaurant. Die Küche hat noch viel Luft nach oben. Zum Glück haben wir das', 'datepublished': '2013-09-08', 'datemodified': '2013-09-08'}, {'datemodified': '2011-02-14', 'description': 'Das italienische Restaurant existiert seit mehr als 20 Jahren und hatte einmal Kultstatus durch...', 'datepublished': '2011-02-14'}, {'description': 'Nach einem Theaterbesuch war das Rimini schon öfter unser Ziel. Scheinbar ein recht solide geführter Familienbetrieb. Die Tagestafel', 'datemodified': '2015-06-28', 'datepublished': '2015-06-28'}, {'datepublished': '2013-08-20', 'datemodified': '2013-08-20', 'description': 'wenn wir mal in Bochum sind, dann gehen wir ins Rimini. Der Flusskrebs-Salat ist sensationell,die ...'}, {'datemodified': '2017-08-04', 'description': 'Wir waren lange auf der Suche nach einem klassischen Italiener in Bochum und haben Ihn endlich gefun...', 'datepublished': '2017-08-04'}, {'description': 'finger weg von dieser imbissbude...minderwertiges essen,arrogante bedienung,überhöhte ...', 'datepublished': '2016-03-11', 'datemodified': '2016-03-11'}, {'datemodified': '2014-11-09', 'description': 'Wir können uns den negativen Kritiken bzgl dem Restaurant Rimini nur anschließen. In der Karte keine einzige kalte Vorspeise unter', 'datepublished': '2014-11-09'}, {'datepublished': '2012-10-24', 'datemodified': '2012-10-24', 'description': 'Wer auf günstige und trotzdem original italienische Pizza steht, der geht zum Abendessen hierher. De...'}, {'description': 'service das allerletze, unreines essen,verdreckte toilletten, lebensmittelvergiftung, nie nie ...', 'datemodified': '2016-02-23', 'datepublished': '2016-02-23'}]",https://cdn.11880.com/ristorante-pizzeria-rimini-gaststaetten-restaurants_24023862_mw240h70_bochum.jpg,2020-09-27,https://www.11880.com/branchenbuch/bochum/071364418B26567316/ristorante-pizzeria-rimini-gaststaetten-restaurants.html
19,Ristorante Da Capo,"{'addresslocality': 'Krefeld', 'addresscountry': 'DE', 'postalcode': '47839', 'streetaddress': 'Hülser Markt 10', 'addressregion': 'Nordrhein-Westfalen'}",(02151)&nbsp;734710,,ristorantedacapo@hotmail.de,"{'latitude': '51,372843', 'longitude': '6,509248'}",http://dacaporistorante.com,https://cdn.11880.com/ristorante-da-capo_24583672_mw240h70_krefeld.jpg,"[{'opens': ['18:00', '12:00'], 'closes': ['23:00', '14:00'], 'dayofweek': 'Dienstag'}, {'opens': ['18:00', '12:00'], 'dayofweek': 'Freitag', 'closes': ['23:00', '14:00']}, {'opens': ['18:00', '12:00'], 'closes': ['23:00', '14:00'], 'dayofweek': 'Sonntag'}, {'opens': ['18:00', '12:00'], 'dayofweek': 'Samstag', 'closes': ['23:00', '14:00']}, {'opens': ['18:00', '12:00'], 'closes': ['23:00', '14:00'], 'dayofweek': 'Donnerstag'}, {'opens': ['18:00', '12:00'], 'dayofweek': 'Mittwoch', 'closes': ['23:00', '14:00']}]",,,https://cdn.11880.com/ristorante-da-capo_24583672_mw240h70_krefeld.jpg,2020-09-27,https://www.11880.com/branchenbuch/krefeld/071364418B27036660/ristorante-da-capo.html
20,Bäckerei Mareis GmbH,"{'addresscountry': 'DE', 'addressregion': 'Bayern', 'postalcode': '84036', 'addresslocality': 'Landshut', 'streetaddress': 'Ritter-von-Schoch-Str. 20'}",(0871)&nbsp;95389680,"{'ratingvalue': '4.00', 'bestrating': '5', 'worstrating': '1', 'reviewcount': '1'}",info@mareis.com,"{'longitude': '12,179405', 'latitude': '48,546776'}",https://www.mareis.com,//static.11880.com/Portal/images/11880/photo-upload.png,"[{'closes': '20:00', 'opens': '06:00', 'dayofweek': 'Samstag'}, {'opens': '06:00', 'closes': '20:00', 'dayofweek': 'Donnerstag'}, {'closes': '11:00', 'opens': '07:00', 'dayofweek': 'Sonntag'}, {'opens': '06:00', 'closes': '20:00', 'dayofweek': 'Freitag'}, {'opens': '06:00', 'closes': '20:00', 'dayofweek': 'Montag'}, {'opens': '06:00', 'closes': '20:00', 'dayofweek': 'Dienstag'}, {'closes': '20:00', 'opens': '06:00', 'dayofweek': 'Mittwoch'}]",,"{'datemodified': '2020-06-29', 'description': 'Sehr gute Ware, aber einzelne Verkäuferin sehr unfreundlich', 'datepublished': '2020-06-29'}",,2020-09-30,https://www.11880.com/branchenbuch/landshut-isar/071210469B101497366/baeckerei-mareis-gmbh.html
21,IWS Wolfgang Schlimgen e.K.,"{'addressregion': 'Baden-Württemberg', 'streetaddress': 'Unterlinden 3', 'addresscountry': 'DE', 'postalcode': '79098', 'addresslocality': 'Freiburg'}",(0761)&nbsp;35600,"{'ratingvalue': '4.12', 'bestrating': '5', 'worstrating': '1', 'reviewcount': '166'}",info@iws-schlimgen.de,"{'latitude': '47,997525', 'longitude': '7,849544'}",https://www.iws-schlimgen.de,"['https://cdn.11880.com/iws-wolfgang-schlimgen-e-k_26799282_mw240h70_freiburg-im-breisgau.png', 'https://cdn.11880.com/iws-wolfgang-schlimgen-e-k_26799282_mw640h480_freiburg-im-breisgau.jpg', 'https://cdn.11880.com/iws-wolfgang-schlimgen-e-k_26461832_mw640h480_freiburg-im-breisgau.jpg']","[{'opens': '09:00', 'closes': '18:00', 'dayofweek': 'Dienstag'}, {'closes': '18:00', 'opens': '09:00', 'dayofweek': 'Montag'}, {'dayofweek': 'Freitag', 'opens': '09:00', 'closes': '13:00'}, {'closes': '18:00', 'dayofweek': 'Mittwoch', 'opens': '09:00'}, {'opens': '09:00', 'closes': '18:00', 'dayofweek': 'Donnerstag'}]",(0761) 33887,"[{'datemodified': '2020-06-10', 'datepublished': '2020-06-10', 'description': 'Ganz schlechte und schreckliche Hausverwaltung. Als Mieter kann man schon mal 9 Monate bis wahrscheinlich Jahre warten, bis Kleinigkeiten oder auch wichtige Dinge repariert werden. Es werden Handwerker beauftragt, die fehlerhafte Ware verbauen. Und dann kann man wieder warten, ob das ausgetauscht und behoben wird. Interesse an einem menschenwürdigen, respektvollen und zügigen Beheben wird nicht signalisiert.'}, {'datemodified': '2020-06-10', 'datepublished': '2020-06-10', 'description': 'Als Hausverwaltung einfach schlecht !'}]",https://cdn.11880.com/iws-wolfgang-schlimgen-e-k_26799282_mw240h70_freiburg-im-breisgau.png,2020-09-18,https://www.11880.com/branchenbuch/freiburg-im-breisgau/060812464Z4183362/iws-wolfgang-schlimgen-e-k.html
22,Bergsteiner u. Petz Rechtsanwälte,"{'postalcode': '80335', 'addresslocality': 'München'}",(089) 554461,,,,,,,,,,,https://www.11880.com/suche/edv-recht/muenchen
23,Prof. Dr. Peter Bräutigam Rechtsanwalt,"{'addresslocality': 'München', 'postalcode': '80333'}",(089) 28628-145,,,,,,,,,,,https://www.11880.com/suche/edv-recht/muenchen
